year,n_points,frp_mean,frp_median
2010,15859,21.062299010025853,10.3
2011,28097,17.366231270242373,9.3
2012,12513,18.108463198273796,9.8
2013,19272,15.95051888750519,9.5
2014,45225,15.665045881702596,9.8
2015,45957,20.065717953739362,12.0
2016,32647,18.130109964162095,10.8
2017,48111,18.83927999833718,11.4
2018,18648,16.603158515658517,9.5
2019,23939,20.104628430594428,11.0
