W,0.8,0.85,0.9,0.95
21,10.6,11.465,14.419999999999987,26.114999999999977
30,13.1,14.779999999999996,18.7,26.949999999999978
45,15.240000000000009,19.0,23.670000000000016,33.324999999999974
60,17.820000000000004,21.0,26.44000000000002,36.4
