W,q,frp_thr,share_cnt,share_frp
21,0.8,10.6,0.004251184258472003,0.003538161497772881
21,0.85,11.465,0.0031580225920077734,0.0030699657380862844
21,0.9,14.419999999999987,0.002064860925543544,0.002513894689497863
21,0.95,26.114999999999977,0.0010931616664642293,0.0017754587940486696
30,0.8,13.1,0.010202842220332808,0.009871796567761298
30,0.85,14.779999999999996,0.007652131665249605,0.00851728875441975
30,0.9,18.7,0.005344345924936232,0.007037582276782593
30,0.95,26.949999999999978,0.002550710555083202,0.004646524012631364
45,0.8,15.240000000000009,0.018462285922506982,0.024571064651645342
45,0.85,19.0,0.013968176849265152,0.021560627335073197
45,0.9,23.670000000000016,0.009231142961253491,0.01766293306926652
45,0.95,33.324999999999974,0.004615571480626746,0.01256049693948322
60,0.8,17.820000000000004,0.022227620551439328,0.03168282123142572
60,0.85,21.0,0.016761812219118183,0.027595202954121538
60,0.9,26.44000000000002,0.011174541479412122,0.02252820040857285
60,0.95,36.4,0.005708733147090975,0.01608495745135205
