W,q,frp_thr,share_cnt,share_frp
21,0.85,11.465,0.0032,0.0031
21,0.9,14.42,0.0021,0.0025
30,0.85,14.78,0.0077,0.0085
30,0.9,18.7,0.0053,0.007
45,0.85,19.0,0.014,0.0216
45,0.9,23.67,0.0092,0.0177
