,n,mean,median,P10,P25,P50,P75,P90,P95,P99
Agricultural,415,10.47,7.2,4.34,5.3,7.2,11.1,18.7,26.95,57.93
Other,7818,26.518,13.5,5.57,7.8,13.5,27.3,57.63,89.205,199.881
